model	challenge_id	repo	file_path	lemma	gt_n_tactics	gt_n_lines	trivial_body	exact	lev	tokf1	band	easy_outcome	hard_outcome	error
claude-sonnet-5	2c92b4267395fb49	github.com/Verified-zkEVM/clean	Clean/Circomlib/BinSub.lean	input_fieldFromBits_bound	5	8	0	0	0.5000	0.4500	low	fail	pass	
claude-sonnet-5	341609f580358a89	github.com/lfglabs-dev/verity	Compiler/Proofs/IRGeneration/FunctionBody/Stmt.lean	compileStmtListWithFork_cancun_eq_compileStmtList	1	13	1	0	0.0147	0.0000	low	excluded	excluded	
claude-sonnet-5	34e263561f91d923	github.com/opencompl/lean-mlir	Blase/Blase/Fast/BitStream.lean	compose_first	3	12	0	0	0.1447	0.1667	low	excluded	excluded	
claude-sonnet-5	3555823b339bec1c	github.com/verse-lab/splean	SPLean/Theories/HProp.lean	hstar_hempty_r	3	7	0	0	0.7500	0.4286	mid	fail	fail	
claude-sonnet-5	3eaf7490820eb45f	github.com/Verified-zkEVM/ArkLib	ArkLib/Data/CodingTheory/BerlekampWelch/BerlekampWelch.lean	decoder_eq_some	22	39	0	0	0.1531	0.2326	low	pass	pass	
claude-sonnet-5	4475f0da376e5ef9	github.com/leanprover-community/iris-lean	Iris/Iris/BI/DerivedLaws.lean	or_symm	1	3	1	0	0.1724	0.0000	low	fail	fail	
claude-sonnet-5	4a823a81a8028fc9	github.com/leanprover/LNSym	Correctness/Iterate.lean	fuel_extra'	18	18	0	0	0.1790	0.2119	low	pass	fail	
claude-sonnet-5	4ae1f1695e5d7efa	github.com/lfglabs-dev/verity	Compiler/Proofs/IRGeneration/Contract.lean	supported_params_of_supportedSpec	5	12	0	0	0.3793	0.5500	low	excluded	excluded	
claude-sonnet-5	4ca75d6e5031c6d9	github.com/cedar-policy/cedar-spec	cedar-lean/Cedar/Thm/SymCC/Compiler/WF.lean	compileApp₁_wf_types	27	35	0	0	0.2148	0.3446	low	pass	pass	
claude-sonnet-5	4cd9b2f5ffcdb76d	github.com/starkware-libs/formal-proofs	Stwo/Verification/AirInfra/Airs/Casm/ConstTables/RangeCheck.lean	rc_SatisfiedBy	11	19	0	0	0.3173	0.4301	low	excluded	excluded	
claude-sonnet-5	502c8803cf78d1a4	github.com/leanprover/TensorLib	TensorLib/Slice.lean	div_succ	7	8	0	0	0.3277	0.1951	low	fail	fail	
claude-sonnet-5	540a0ff7d3ae7a19	github.com/verse-lab/Lentil	Lentil/Rules/Basic.lean	eventually_always_and_distrib	16	11	0	0	0.2607	0.2718	low	pass	fail	
claude-sonnet-5	54b29208d59e384a	github.com/BoltonBailey/formal-snarks-project	FormalSnarksProject/Models/SymbolicAGMScheme.lean	eval_eq_zero_of_mem_radical	13	23	0	0	0.3985	0.5789	low	pass	pass	
claude-sonnet-5	5623bb19f7f441fc	github.com/reilabs/lampe	stdlib/lampe/Stdlib/Hash/Poseidon2.lean	vector_ext_get	6	9	0	0	0.2439	0.1765	low	excluded	excluded	
claude-sonnet-5	562f4fffaa14159e	github.com/lexicone42/nickelean	Nickelean/DecimalParseRoundtrip.lean	nonDigitHead_to_parseDigitChar	10	13	0	0	0.3619	0.3810	low	fail	fail	
claude-sonnet-5	5847e2d920b6041e	github.com/kim-em/lean-zip	Zip/Spec/DecodeCorrect.lean	readBit_pos_le	13	14	0	0	0.2887	0.3038	low	fail	pass	
claude-sonnet-5	593caf423a6fed14	github.com/powdr-labs/yul-compiler	YulEvmCompiler/SimAsm.lean	asimE_dup0	8	14	0	0	0.0545	0.0945	low	fail	fail	
claude-sonnet-5	5a4b0ee657d13463	github.com/cryspen/hax	Hax/MissingLean/Init/Data/UInt/Lemmas_UInt128.lean	UInt128.neg_add	1	3	1	0	0.2407	0.0000	low	pass	pass	
claude-sonnet-5	5bac3500a6bab4b4	github.com/lexicone42/ryu-lean4	RyuLean4/IEEE754/RoundProof.lean	round_zero	2	5	1	0	0.6562	0.4444	mid	fail	fail	
claude-sonnet-5	5cd1ea3baef5200a	github.com/etheorem/etheorem	packages/LeanSha256/LeanSha256/Core.lean	extendSchedule_size	7	12	0	0	0.4242	0.4667	low	pass	pass	
claude-sonnet-5	5e51e92feada77de	github.com/kim-em/lean-zip	Zip/Spec/LZ77ChainCorrect.lean	countMatch_le_of_byte_ne	4	14	0	0	0.4316	0.5172	low	fail	fail	
claude-sonnet-5	60061f4b45d47a0e	github.com/verse-lab/veil	Examples/StellarConsensus/SCPTheory.lean	intact_node_is_well_behaved	4	4	1	0	0.2234	0.2609	low	fail	pass	
claude-sonnet-5	6011b971e91f0d3a	github.com/leanprover/LNSym	Arm/Memory/MemoryProofs.lean	leftshift_n_or_rightshift_n	11	13	0	0	0.4441	0.6857	low	excluded	excluded	
claude-sonnet-5	6435e1d0534addbb	github.com/NethermindEth/Clear	Clear/OutOfFuelLemmas.lean	isOutOfFuel_execPrimCall3	4	5	0	0	0.5897	0.3750	low	fail	pass	
claude-sonnet-5	645b573e4662a040	github.com/cryspen/hax	Hax/MissingLean/Init/Data/SInt/Lemmas_Int128.lean	Int128.toInt.inj	1	2	1	0	0.1429	0.0000	low	fail	fail	
claude-sonnet-5	65c6eaf0933ac3bc	github.com/AeneasVerif/aeneas	Aeneas/Data/List/List.lean	length_flatten_set_eq	13	14	0	0	0.2997	0.3793	low	pass	pass	
claude-sonnet-5	68918926206d7fc4	github.com/leanprover/SampCert	SampCert/Samplers/BernoulliNegativeExponential/Properties.lean	mass'_neq_top	20	23	0	0	0.2765	0.2105	low	fail	fail	
claude-sonnet-5	68a3168be1d7a904	github.com/keeganperry7/posix-parsing	PosixParsing/Parser.lean	mkeps_flat	10	13	0	0	0.3658	0.4242	low	pass	fail	
claude-sonnet-5	6a458f2f159b083b	github.com/Verilean/sparkle	IP/RV32/Pipeline/AbortGuarantee.lean	suppressEXWB_aborts_regW_next_cycle	11	32	0	0	0.0386	0.0515	low	excluded	excluded	
claude-sonnet-5	6f689fa4d6606e04	github.com/ionathanch/TTBFL	src/candidates/naive.lean	interpsBwd	4	4	1	0	0.2400	0.1905	low	fail	fail	
claude-sonnet-5	7331a8bd16838470	github.com/Verified-zkEVM/clean	Clean/Air/FlatEnsemble.lean	verifierTable_lookups	4	7	0	0	0.2805	0.5000	low	pass	pass	
claude-sonnet-5	73cf11986048d1e2	github.com/leanprover-community/iris-lean	Iris/Iris/BI/BigOp/BigSepMap.lean	bigSepM_forall_elim	8	13	0	0	0.0332	0.0000	low	fail	fail	
claude-sonnet-5	76bf93194ad33297	github.com/marcusrossel/verified-compiler	VerifiedCompiler.lean	goto_mono	3	7	0	0	0.2395	0.1319	low	pass	fail	
claude-sonnet-5	779a3ae2765e6e45	github.com/keeganperry7/posix-parsing	PosixParsing/Correctness.lean	mkeps_posix	13	16	0	0	0.4171	0.6636	low	fail	fail	
claude-sonnet-5	795efddf6068c29d	github.com/microsoft/SymCrypt	SymCrypt/SymCRust/lean/Symcrust/Properties/SHA3/Keccak/Core.lean	Fin5x5_cases	6	15	0	0	0.2200	0.2857	low	fail	fail	
claude-sonnet-5	7b7626fc3b093a25	github.com/Verified-zkEVM/evm-asm	EvmAsm/Evm64/DivMod/Spec/N1CarryZeroReducers.lean	fullDivN1NormU_top_lt_normV_limb0_of_shape_shift_nz	5	14	0	0	0.4356	0.4898	low	fail	fail	
claude-sonnet-5	7cb277821546874c	github.com/powdr-labs/yul-semantics	YulSemantics/Equiv.lean	exprStmtImp	4	8	0	0	0.5042	0.4681	low	pass	pass	
claude-sonnet-5	7d115958af5c1d1e	github.com/leanprover/LeroyCompilerVerificationCourse	LeroyCompilerVerificationCourse/Constprop.lean	cexec_mk_WHILE_done	4	7	0	0	0.2324	0.3265	low	fail	fail	
claude-sonnet-5	7e72fb53bb7b2c85	github.com/verified-optimization/CvxLean	CvxLean/Lib/Math/LogDet.lean	IsHermitian₁₁_of_IsHermitian_toBlock	3	5	1	0	0.9859	0.9744	high	pass	pass	
claude-sonnet-5	7f5a6a8a46a36844	github.com/kim-em/hex-dev	HexRowReduce/RowEchelon/Elementary.lean	dotProduct_add_smul_ofFn_left	21	30	0	0	0.0906	0.0272	low	fail	fail	
claude-sonnet-5	801815299db16764	github.com/NethermindEth/Clear	Clear/OutOfFuelLemmas.lean	isOutOfFuel_diverge	4	9	0	0	0.3125	0.3810	low	fail	fail	
claude-sonnet-5	8119349c53d69fdf	github.com/rutgers-apl/FLoPS	Flops/P3109/RtoProperty.lean	overflow_neg_project_eq_min_or_not_finite	40	48	0	0	0.0338	0.0463	low	fail	fail	
claude-sonnet-5	813d77ef0033bd15	github.com/ProofOfKeags/btc-verified	BtcVerified/Transaction/Tx.lean	Tx.legacy_of_legacy?	6	11	0	0	0.4565	0.5714	low	pass	pass	
claude-sonnet-5	83f97f349caa71e9	github.com/etheorem/etheorem	packages/SizzLean/SizzLean/Proofs/SerializeSize.lean	serializeFixedElems_size_aux	10	22	0	0	0.4517	0.5957	low	pass	pass	
claude-sonnet-5	89a4ee7e159a40d6	github.com/lexicone42/ryu-lean4	RyuLean4/Roundtrip/FormatParse.lean	parseNatAux_digit	3	9	0	0	0.2514	0.2353	low	fail	fail	
claude-sonnet-5	8dd8cec9f03d72a7	github.com/lean-dojo/TorchLean	NN/Floats/Interval/IEEEExec32DivSoundness.lean	pow2_eq_two_pow	2	6	0	0	0.2717	0.2979	low	pass	pass	
claude-sonnet-5	90336b1db31181a3	github.com/NethermindEth/FVIntmax	FVIntmax/Propositions.lean	proposition2	11	16	0	0	0.1672	0.2393	low	fail	fail	
claude-sonnet-5	91ec2fac1890db47	github.com/lexicone42/nickelean	Nickelean/UnifiedRoundtrip.lean	fromJsonList_toJsonSorted_recover	13	13	0	0	0.3852	0.6182	low	pass	pass	
claude-sonnet-5	929a50d0b6a01c2e	github.com/ProofOfKeags/btc-verified	BtcVerified/Crypto/Merkle.lean	virtualLeaves_ofList_of_length_eq	18	21	0	0	0.4298	0.6347	low	fail	fail	
claude-sonnet-5	92aa2b1733897d5a	github.com/keeganperry7/posix-submatching	PosixSubmatching/Regex.lean	Matches_deriv	63	66	0	0	0.1707	0.2821	low	fail	fail	
claude-sonnet-5	92d5feb5271286db	github.com/metareflection/dolev-yao	DolevYao/Protocol.lean	nonce_secret	9	21	0	0	0.2833	0.3655	low	fail	fail	
claude-sonnet-5	93697f0d24bb8a8a	github.com/verse-lab/veil	Veil/DSL/Action/Theory.lean	TwoState_sound'	14	12	0	0	0.2048	0.2857	low	pass	pass	
claude-sonnet-5	94b181719a4a8688	github.com/iasakura/lean-yjs	LeanYjs/Indirect/Algorithm/Equivalence.lean	findRefIdx_ofDirectPtr_exact	23	27	0	0	0.3648	0.5431	low	fail	fail	
claude-sonnet-5	9586b73159c4f2e8	github.com/verse-lab/loom	Loom/MonadAlgebras/WP/Basic.lean	wp_cons	6	7	0	0	0.2262	0.1379	low	fail	fail	
claude-sonnet-5	99dd9f11041170de	github.com/CharlesHoskinson/jolt-tla	jolt-kernel/Jolt/ConfigTags.lean	checkStrictlySorted_adjacent	3	8	0	0	0.6567	0.8571	mid	pass	pass	
claude-sonnet-5	9ba6e1c09e92b1d1	github.com/reilabs/proven-zk	ProvenZk/Ext/Vector/Basic.lean	append_inj	20	22	0	0	0.3508	0.4551	low	pass	pass	
claude-sonnet-5	9cb5056f3dd2ef88	github.com/andaraiwin/lean-formal-reasoning-program	Frap/Exercises/Inductive.lean	cons_append	2	8	0	0	0.0845	0.2105	low	pass	pass	
claude-sonnet-5	9d29ef4dc342e3f9	github.com/digama0/lean4lean	Lean4Lean/Verify/Expr.lean	liftLooseBVars_liftLooseBVars	7	10	0	0	0.1907	0.2529	low	fail	fail	
claude-sonnet-5	9e7200cdc6d6cbe2	github.com/powdr-labs/yul-semantics	YulSemantics/Rewrites.lean	var_lit_inv	14	22	0	0	0.1912	0.1923	low	fail	fail	
claude-sonnet-5	9ec5e6d3c706144c	github.com/marcusrossel/verified-compiler	VerifiedCompiler.lean	lower_ite_hEquiv	22	36	0	0	0.0565	0.0922	low	fail	fail	
claude-sonnet-5	9ec8a7a07defdcb6	github.com/anoma/juvix-lean	Juvix/Core/Main/Semantics/Approx/Indexed.lean	Value.Approx.Indexed.preserved	4	10	0	0	0.2717	0.3256	low	pass	fail	
claude-sonnet-5	9f31dffd2bc2975a	github.com/Verified-zkEVM/VCV-io	VCVio/OracleComp/Constructions/SampleableType.lean	probOutput_map_bijective_uniform_cross	6	12	0	0	0.3500	0.4082	low	fail	fail	
claude-sonnet-5	a20e18f35e8b43e4	github.com/opencompl/lean-mlir	Blase/Blase/Fast/BitStream.lean	toBitVec_eq_of_equal_up_to	8	11	0	0	0.2216	0.3014	low	excluded	excluded	
claude-sonnet-5	a4ce553d6553ca3a	github.com/leanprover/cslib	Cslib/Languages/CombinatoryLogic/List.lean	headD_def	1	5	1	0	0.1463	0.1429	low	fail	fail	
claude-sonnet-5	a52a412058f32352	github.com/BoltonBailey/formal-snarks-project	FormalSnarksProject/ToMathlib/OptionEquivRight.lean	to_MvPolynomial_Option_X	2	5	1	0	0.4483	0.7143	low	fail	fail	
claude-sonnet-5	a537b7a3bcd8844d	github.com/verse-lab/splean	SPLean/Theories/HProp.lean	himpl_antisym	8	10	0	0	0.4532	0.5172	low	fail	fail	
claude-sonnet-5	a6980f1a1d6f7fd4	github.com/NethermindEth/FVIntmax	FVIntmax/Theorem1.lean	merge_K	1	3	1	0	0.0476	0.0000	low	fail	fail	
claude-sonnet-5	a6be38abcec14ea7	github.com/anoma/juvix-lean	Juvix/Core/Main/Semantics/Approx.lean	Expr.Approx.from_preservation	9	12	0	0	0.1471	0.2588	low	fail	fail	
claude-sonnet-5	a70c2c776b07e4e9	github.com/microsoft/SymCrypt	SymCrypt/SymCRust/lean/Spec/SHA3/Permutation.lean	rotateLeft_rotateLeft_cancel	31	35	0	0	0.1633	0.1899	low	fail	fail	
claude-sonnet-5	ab451f34742004c1	github.com/verified-optimization/CvxLean	CvxLean/Lib/Math/LinearAlgebra/Matrix/Spectrum.lean	spectral_theorem	28	34	0	0	0.2370	0.3451	low	fail	fail	
claude-sonnet-5	abe14cc5c66753fb	github.com/Linyxus/capless-lean	Capless/Inversion/Typing.lean	Typed.letin_inv'	27	31	0	0	0.2653	0.3636	low	fail	fail	
claude-sonnet-5	acee1f355e4ebad9	github.com/verse-lab/loom	Loom/MonadAlgebras/WP/Basic.lean	wp_cons	6	7	0	0	0.2619	0.2222	low	fail	fail	
claude-sonnet-5	ad13d6c76d669235	github.com/Verilean/sparkle	IP/RV32/Pipeline/FlushSquash.lean	idex_squash_persists_via_flushDelay	11	52	0	0	0.2935	0.2819	low	fail	fail	
claude-sonnet-5	af161070ba37dd94	github.com/andaraiwin/lean-formal-reasoning-program	Frap/Exercises/IndProp.lean	cons_append	2	9	0	0	0.1176	0.2857	low	fail	fail	
claude-sonnet-5	b1550740dc7acf5c	github.com/fradamt/verified-consensus	DecoupledConsensus/Store/Proof/Invariants.lean	updateJustified_F_eq	4	6	0	0	0.0610	0.1111	low	fail	fail	
claude-sonnet-5	b464691a882d0e3c	github.com/septract/adler-proofs	lean/Adler/BaseSpecs.lean	List.toChunksExact_fst_length	14	16	0	0	0.2480	0.3364	low	fail	fail	
claude-sonnet-5	b62bdabff93ea603	github.com/Beneficial-AI-Foundation/curve25519-dalek-lean-verify	Curve25519Dalek/Specs/Edwards/EdwardsPoint/ToMontgomery.lean	birational_u_ne_zero_of_x_ne_zero	7	12	0	0	0.3262	0.5600	low	fail	fail	
claude-sonnet-5	b63ffa5aac5b5e34	github.com/CharlesHoskinson/jolt-tla	jolt-tla/lean/Tests/GoedelFrProperties.lean	add_mod_mod	2	5	0	0	0.4674	0.5263	low	pass	pass	
claude-sonnet-5	b6c0958faa9b4e50	github.com/Verified-zkEVM/CompPoly	CompPoly/LinearAlgebra/Dense/RrefShape.lean	pivotColumnsStrict_push	23	27	0	0	0.1348	0.1705	low	fail	pass	
claude-sonnet-5	b703264a818fcd5e	github.com/lexicone42/shortest-decimal	ShortestDecimal/Interval/IntervalRNA.lean	rna_interval_abs_bounds_weak	36	40	0	0	0.0678	0.1289	low	fail	fail	
claude-sonnet-5	bb165801ff15e632	github.com/septract/adler-proofs	lean/Adler/BaseSpecs.lean	u32_of_u8_setWidth_val	10	13	0	0	0.1634	0.1690	low	pass	pass	
claude-sonnet-5	bb506cf047659a6e	github.com/lean-dojo/TorchLean	NN/MLTheory/Optimization/OptimizerLaws.lean	step_eq_optimizer_step	4	9	0	0	0.1429	0.0952	low	pass	pass	
claude-sonnet-5	bc557726c0c45489	github.com/powdr-labs/apc-optimizer	ApcOptimizer/Implementation/OptimizerPasses/Reencode.lean	matchCM_eval	18	19	0	0	0.1519	0.2437	low	fail	fail	
claude-sonnet-5	bd1dec8fef9ca817	github.com/cedar-policy/cedar-spec	cedar-lean/Cedar/Thm/Data/List/Lemmas.lean	forall₂_cons_left_iff	7	14	0	0	0.4815	0.6061	low	fail	fail	
claude-sonnet-5	be744f333456203c	github.com/konnov/leanda	Ben-Or/BenOr/Proofs.lean	frame_existsQuorum1	6	16	0	0	0.2734	0.4103	low	fail	fail	
claude-sonnet-5	c004d27acd1ee8ac	github.com/powdr-labs/yul-compiler	YulParser/Stmt.lean	hrets_soundC	6	9	0	0	0.2742	0.2308	low	fail	fail	
claude-sonnet-5	c14999a9673608e5	github.com/Verified-zkEVM/VCV-io	VCVio/CryptoFoundations/FujisakiOkamoto/UTransform.lean	encaps_usesExactFamilyWeightedCost	11	26	0	0	0.1549	0.1833	low	fail	fail	
claude-sonnet-5	c382f5d8ee03e9f8	github.com/reilabs/lampe	stdlib/lampe/Stdlib/Hash/Poseidon2.lean	vector_ext_get	6	9	0	0	0.6179	0.6250	mid	excluded	excluded	
claude-sonnet-5	c59817dd14d2eb89	github.com/AeneasVerif/aeneas	Aeneas/Tactic/Solver/Arith/Lemmas.lean	bmod_eq_emod_eq_iff	31	29	0	0	0.1470	0.1862	low	fail	fail	
claude-sonnet-5	c8f7852f85b1c244	github.com/Verified-zkEVM/ArkLib	ArkLib/Data/Matrix/Vandermonde.lean	nonsquare_mulVecLin	2	5	1	0	0.3108	0.6000	low	pass	pass	
claude-sonnet-5	cbadd5a663aa3f7a	github.com/Verified-zkEVM/evm-asm	EvmAsm/Evm64/DivMod/Compose/V6FastResultBridge.lean	fast_scratch_own_assemble	19	36	0	0	0.0527	0.0667	low	fail	fail	
claude-sonnet-5	d2c087aa9bbebfa7	github.com/iasakura/lean-yjs	LeanYjs/Network/CausalNetwork.lean	HappensBefore.trans2	8	13	0	0	0.7559	0.5200	mid	fail	fail	
claude-sonnet-5	d8f33a913429b46e	github.com/leanprover/LeroyCompilerVerificationCourse	LeroyCompilerVerificationCourse/Compil.lean	compile_cont_Kseq_inv	5	11	0	0	0.2066	0.1633	low	fail	fail	
claude-sonnet-5	dbdd64157b7d7426	github.com/reilabs/proven-zk	ProvenZk/Binary.lean	ofBitsBE_snoc	10	12	0	0	0.2996	0.4935	low	fail	fail	
claude-sonnet-5	e1636d84d45168d3	github.com/rutgers-apl/FLoPS	Flops/Core/RoundOp.lean	scaled_mantissa_bounded	15	16	0	0	0.2577	0.4204	low	fail	fail	
claude-sonnet-5	e605b051b91ee2cc	github.com/digama0/lean4lean	Lean4Lean/Std/HashMap.lean	Const.containsKey_map	3	5	1	0	0.5612	0.5789	low	pass	pass	
claude-sonnet-5	eaa30d2eacaa36db	github.com/starkware-libs/formal-proofs	Stwo/Verification/AirInfra/Airs/Felt252Utils/VerifyMul252.lean	eval_poly_drop_tail	11	12	0	0	0.2073	0.1818	low	excluded	excluded	
claude-sonnet-5	ed7f94e1f237638c	github.com/FormalizedFormalLogic/Foundation	Foundation/Propositional/Entailment/Minimal/Basic.lean	deduct'!	1	4	1	0	0.1000	0.0000	low	fail	fail	
mistral:labs-leanstral-1-5	03368880f2abd6e9	github.com/FormalizedFormalLogic/Foundation	Foundation/Propositional/ConsistentTableau.lean	iff_not_mem₂_mem₁	1	3	1	0	0.1056	0.0000	low	fail	fail	
mistral:labs-leanstral-1-5	03f9877b6b7c5816	github.com/leanprover/cslib	Cslib/Languages/CombinatoryLogic/Recursion.lean	isChurch_trans	8	13	0	0	0.2634	0.3404	low	fail	fail	
mistral:labs-leanstral-1-5	05f6b42658ac096e	github.com/fradamt/verified-consensus	DecoupledConsensus/State/Proof/Invariants.lean	chain_targets_anc	8	18	0	0	0.2739	0.1878	low	fail	fail	
mistral:labs-leanstral-1-5	0733ea13aaaae37a	github.com/kim-em/hex-dev	HexPolyZMathlib/RobinsonForm.lean	norm_eval_robinsonFactor_eq_norm_eval_X_sub_C	27	36	0	0	0.2913	0.5471	low	pass	fail	
mistral:labs-leanstral-1-5	0942fe2ed2dead21	github.com/Verified-zkEVM/CompPoly	CompPoly/Univariate/CMvEquiv.lean	mvToUnivariate_eq_map_finSuccEquiv	16	24	0	0	0.2997	0.2698	low	fail	fail	
mistral:labs-leanstral-1-5	0a5f78f39912afa0	github.com/konnov/leanda	Ben-Or/BenOr/Proofs.lean	senders1_mono	6	10	0	0	0.3239	0.3529	low	fail	fail	
mistral:labs-leanstral-1-5	10171d84a7f98c0f	github.com/lexicone42/shortest-decimal	ShortestDecimal/Interval/Interval32.lean	pow_ef_cancel32	4	5	1	0	0.0667	0.1071	low	fail	fail	
mistral:labs-leanstral-1-5	11e0ea962fc2c31d	github.com/leanprover/TensorLib	TensorLib/Slice.lean	le_div_le	6	6	0	0	0.2683	0.1739	low	fail	fail	
mistral:labs-leanstral-1-5	17de49f70e7d5d1e	github.com/verse-lab/Lentil	Lentil/Rules/Basic.lean	contraposition_for_pred_implies	2	4	1	0	0.1121	0.0357	low	pass	pass	
mistral:labs-leanstral-1-5	19fe8265c1e6f2c2	github.com/powdr-labs/apc-optimizer	ApcOptimizer/Implementation/OptimizerPasses/Reencode.lean	Expression.substF_varsIn_bits	21	28	0	0	0.1195	0.1512	low	fail	fail	
mistral:labs-leanstral-1-5	1f7dcc7181ec615c	github.com/Linyxus/capless-lean	Capless/Inversion/Typing.lean	Typed.boundary_inv'	20	27	0	0	0.2178	0.2157	low	fail	fail	
mistral:labs-leanstral-1-5	1fbd99eb5aaf285f	github.com/keeganperry7/posix-submatching	PosixSubmatching/POSIX.lean	longest_split_unique	17	25	0	0	0.1731	0.1600	low	fail	fail	
mistral:labs-leanstral-1-5	2092154f552b6444	github.com/Beneficial-AI-Foundation/curve25519-dalek-lean-verify	Curve25519Dalek/Math/Montgomery/Representation.lean	montgomery_helper	5	8	0	0	0.0587	0.0556	low	pass	pass	
mistral:labs-leanstral-1-5	26c4eaeee8c6ce58	github.com/leanprover/SampCert	SampCert/Samplers/Uniform/Properties.lean	double_large_enough	12	20	0	0	0.2397	0.2817	low	fail	pass	
mistral:labs-leanstral-1-5	28a3d1dccdb83b0a	github.com/ionathanch/TTBFL	src/candidates.lean	interpMtyInv	10	9	0	0	0.0751	0.0870	low	fail	fail	
mistral:labs-leanstral-1-5	2c92b4267395fb49	github.com/Verified-zkEVM/clean	Clean/Circomlib/BinSub.lean	input_fieldFromBits_bound	5	8	0	0	0.2158	0.2133	low	fail	fail	
mistral:labs-leanstral-1-5	341609f580358a89	github.com/lfglabs-dev/verity	Compiler/Proofs/IRGeneration/FunctionBody/Stmt.lean	compileStmtListWithFork_cancun_eq_compileStmtList	1	13	1	0	0.0095	0.0000	low	excluded	excluded	
mistral:labs-leanstral-1-5	34e263561f91d923	github.com/opencompl/lean-mlir	Blase/Blase/Fast/BitStream.lean	compose_first	3	12	0	0	0.2632	0.3111	low	excluded	excluded	
mistral:labs-leanstral-1-5	3555823b339bec1c	github.com/verse-lab/splean	SPLean/Theories/HProp.lean	hstar_hempty_r	3	7	0	0	0.2000	0.2857	low	fail	fail	
mistral:labs-leanstral-1-5	3eaf7490820eb45f	github.com/Verified-zkEVM/ArkLib	ArkLib/Data/CodingTheory/BerlekampWelch/BerlekampWelch.lean	decoder_eq_some	22	39	0	0	0.2195	0.2154	low	fail	fail	
mistral:labs-leanstral-1-5	4475f0da376e5ef9	github.com/leanprover-community/iris-lean	Iris/Iris/BI/DerivedLaws.lean	or_symm	1	3	1	0	0.0197	0.0000	low	fail	fail	
mistral:labs-leanstral-1-5	4a823a81a8028fc9	github.com/leanprover/LNSym	Correctness/Iterate.lean	fuel_extra'	18	18	0	0	0.2271	0.2130	low	pass	fail	
mistral:labs-leanstral-1-5	4ae1f1695e5d7efa	github.com/lfglabs-dev/verity	Compiler/Proofs/IRGeneration/Contract.lean	supported_params_of_supportedSpec	5	12	0	0	0.2014	0.2703	low	excluded	excluded	
